Category,Abbrev_Journal,ISSN,Cites2011,JIF,JIF_5yr,Immediacy,Articles_2011,Half_Life,Eigenfactor,AI,,,Query,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate
Ecology,ACTA OECOL,1146-609X,2162,1.57,1.946,0.488,86,7,0.00548,0.65,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecology,ADV ECOL RES,0065-2504,1618,5.333,3.224,5,5,10,0.00105,1.168,,,Advances in Ecological Research from 2007 to 2011: all,47,914,6,152.33,19.45,280.91,14.93,3.72,20,27,20,5.41,10,215.65,14.69,67.12,14.9,10.75,4/6/13
Ecology,ADV MICROB ECOL,0147-4863,291,NA,NA,NA,0,10,0,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecology,AFR J ECOL,0141-6707,1381,0.655,0.913,0.082,61,8.1,0.00313,0.287,,,African Journal of Ecology from 2007 to 2011: all,619,3127,7,446.71,5.05,1393.39,289.2,2.71,20,27,15,6.45,13,578.96,24.06,254.93,15.07,14.03,4/6/13
Ecology,AGR ECOSYST ENVIRON,0167-8809,10125,3.004,3.969,0.344,212,6.9,0.02355,1.196,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecology,AM MIDL NAT,0003-0031,3237,0.619,0.698,0.105,76,10,0.00181,0.257,,,American Midland Naturalist from 2007 to 2011: all,402,1907,7,272.43,4.74,786.43,180.38,2.76,15,19,11,4.59,10,357.43,18.91,147.3,10.15,12.32,4/6/13
Ecology,AM NAT,0003-0147,24661,4.725,5.28,0.827,168,10,0.04448,2.61,,,American Naturalist from 2007 to 2011: all,941,21527,7,3075.29,22.88,9515.81,407.6,2.89,61,78,46,20.79,38,3995.21,63.21,1750.33,37.74,48.65,4/6/13
Ecology,ANIM CONSERV,1367-9430,1888,2.931,3.186,0.984,64,5.7,0.00653,1.227,,,Animal Conservation from 2007 to 2011: all,420,4765,7,680.71,11.35,1772.02,181.72,3.04,28,41,23,9.45,17,927.36,30.45,342.79,23.81,21.18,4/6/13
Ecology,ANN ZOOL FENN,0003-455X,1623,1.539,1.466,0.121,33,10,0.00216,0.508,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecology,ANNU REV ECOL EVOL S,1543-592X,14049,14.373,18.007,0.227,22,10,0.0233,9.273,,,Annual Review of Ecology Evolution and Systematics from 2007 to 2011: all,93,5622,6,937,60.45,3430.53,54.15,2.26,47,73,42,21.04,32,1125.77,33.55,669.3,50.5,32.15,4/6/13
Ecology,APPL ECOL ENV RES,1589-1623,163,0.379,NA,0,12,6.1,0.00031,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecology,APPL VEG SCI,1402-2001,994,1.678,2.031,0.653,49,6,0.00297,0.706,,,Applied Vegetation Science from 2007 to 2011: all,254,2585,7,369.29,10.18,899.89,88.9,3.19,22,30,18,6.91,11,502.18,22.41,174.13,16.88,14.78,4/6/13
Ecology,AQUAT ECOL,1386-2588,1082,1.365,1.64,0.234,47,6,0.0032,0.542,,,Aquatic Ecology from 2007 to 2011: all,345,2850,7,407.14,8.26,1004.09,132.97,3.24,21,30,17,5.01,10,538.19,23.2,187.38,17,14.98,4/6/13
Ecology,AQUAT MICROB ECOL,0948-3055,4068,2.393,2.724,0.23,100,7.9,0.00858,0.923,,,Aquatic Microbial Ecology from 2007 to 2011: all,451,4324,7,617.71,9.59,1349.51,142.41,3.65,26,34,19,7.27,12,803.58,28.35,248.46,17.12,18.99,4/6/13
Ecology,AUSTRAL ECOL,1442-9985,2488,1.824,2.074,0.248,101,7,0.00646,0.744,,,Austral Ecology from 2007 to 2011: all,567,4650,7,664.29,8.2,1872.43,279.13,2.63,27,36,21,8.78,15,886.07,29.77,353.59,19.18,21.6,4/6/13
Ecology,B AM MUS NAT HIST,0003-0090,2309,2.905,6.281,1.059,17,10,0.0032,2.722,,,Bulletin of the American Museum of Natural History from 2007 to 2011: all,75,1005,7,143.57,13.4,721.32,47.52,2.04,16,28,14,8.53,12,204.97,14.32,143.67,20.66,12.67,4/6/13
Ecology,B PEABODY MUS NAT HI,0079-032X,102,0.69,NA,0.455,11,4.7,0.00039,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
