Abbrev_Journal,Title_Scopus,SNIP 2011,SJR 2011,SNIP_Rank,SJR_Rank
ACTA OECOL,Acta Oecologica,0.915,0.772,81,
ADV ECOL RES,Advances in Ecological Research,1.329,1.521,39,
AFR J ECOL,African Journal of Ecology,0.539,0.484,111,
AM MIDL NAT,American Midland Naturalist,0.495,0.356,114,
AM NAT,American Naturalist,1.677,3.098,25,
ANIM CONSERV,Animal Conservation,1.248,1.509,45,
ANNU REV ECOL EVOL S,Annual Review of Ecology,3.932,6.901,3,
APPL VEG SCI,Applied Vegetation Science,1.013,0.934,69,
AQUAT ECOL,Aquatic Ecology,1.052,0.634,66,
AQUAT MICROB ECOL,Aquatic Microbial Ecology,0.874,1.141,86,
AUSTRAL ECOL,Austral Ecology,1.092,1.039,59,
B AM MUS NAT HIST,Bulletin of the American Museum of Natural History,2.694,1.909,9,
BASIC APPL ECOL,Basic and Applied Ecology,1.159,1.299,54,
BEHAV ECOL,Behavioral Ecology,1.187,1.577,50,
BEHAV ECOL SOCIOBIOL,Behavioral Ecology and Sociobiology,1.179,1.381,52,
BIOCHEM SYST ECOL,Biochemical Systematics and Ecology,0.78,0.398,94,
BIODIVERS CONSERV,Biodiversity and Conservation,1.239,1.2,47,
BIOGEOSCIENCES,Biogeosciences,1.092,1.825,60,
BIOL CONSERV,Biological Conservation,1.902,2.098,17,
BIOL INVASIONS,Biological Invasions,1.321,1.348,40,
BIOL LETTERS,Biology Letters,1.42,1.931,37,
BIOTROPICA,Biotropica,1.045,1.112,67,
CAN FIELD NAT,Canadian Field-Naturalist,0.186,0.152,124,
CHEM ECOL,Chemistry and Ecology,0.33,0.284,121,
CHEMOECOLOGY,Chemoecology,0.838,0.646,90,
COMMUNITY ECOL,Community Ecology,0.696,0.864,100,
COMPOST SCI UTIL,Compost Science and Utilization,0.636,0.339,106,
CONSERV BIOL,Conservation Biology,2.026,2.529,13,
CONTEMP PROBL ECOL+,Contemporary Problems of Ecology,0.094,0.111,126,
DIVERS DISTRIB,Diversity and Distributions,1.623,2.282,27,
ECOGRAPHY,Ecography,1.603,2.395,28,
ECOHYDROLOGY,Ecohydrology,0.764,0.723,95,
ECOL APPL,Ecological Appplications,1.994,2.615,14,
