Abbrev_Journal,Cites_2011_JCR,JIF,JIF5,Immediacy,Articles_2011,JCR_papers_est,Half_Life,Eigenfactor,AI,Google_Papers,Citations_Google,Cites_Paper_Google,h_index,g_index,hc_index,AR_index,e_index,SNIP,SJR,GoogleQueryDate,Title_Scopus,JIF_Rank,JIF5_Rank,AI_Rank,SNIP_Rank,SJR_Rank,EF_Rank,H_Rank,e_Rank,g_Rank,AR_Rank,Hc_Rank,Cites_jcr_rank,Cites_google_rank
AFR J ECOL,1381,0.655,0.913,0.082,61,1513,8.1,0.00313,0.287,619,3127,5.05,20,27,15,24.06,15.07,0.539,0.484,4/6/13,African Journal of Ecology,101,107,97,100,94,78,80,84,83,71,88,76,70
AM MIDL NAT,3237,0.619,0.698,0.105,76,4638,10,0.00181,0.257,402,1907,4.74,15,19,11,18.91,10.15,0.495,0.356,4/6/13,American Midland Naturalist,102,114,101,102,100,86,93,99,98,87,98,55,86
AM NAT,24661,4.725,5.28,0.827,168,4671,10,0.04448,2.61,941,21527,22.88,61,78,46,63.21,37.74,1.677,3.098,4/6/13,American Naturalist,19,19,11,23,10,10,13,36,20,16,13,7,15
ANIM CONSERV,1888,2.931,3.186,0.984,64,593,5.7,0.00653,1.227,420,4765,11.35,28,41,23,30.45,23.81,1.248,1.509,4/6/13,Animal Conservation,38,47,37,42,38,58,56,53,55,56,54,69,56
ANNU REV ECOL EVOL S,14049,14.373,18.007,0.227,22,780,10,0.0233,9.273,93,5622,60.45,47,73,42,33.55,50.5,3.932,6.901,4/6/13,Annual Review of Ecology,3,1,1,2,3,26,34,16,24,52,21,15,52
APPL VEG SCI,994,1.678,2.031,0.653,49,489,6,0.00297,0.706,254,2585,10.18,22,30,18,22.41,16.88,1.013,0.934,4/6/13,Applied Vegetation Science,71,70,68,66,64,80,76,72,74,78,75,82,76
AQUAT ECOL,1082,1.365,1.64,0.234,47,660,6,0.0032,0.542,345,2850,8.26,21,30,17,23.2,17,1.052,0.634,4/6/13,Aquatic Ecology,84,87,82,63,87,76,78,70,74,74,77,80,73
AQUAT MICROB ECOL,4068,2.393,2.724,0.23,100,1493,7.9,0.00858,0.923,451,4324,9.59,26,34,19,28.35,17.12,0.874,1.141,4/6/13,Aquatic Microbial Ecology,52,56,50,81,50,50,60,69,63,60,66,46,60
AUSTRAL ECOL,2488,1.824,2.074,0.248,101,1200,7,0.00646,0.744,567,4650,8.2,27,36,21,29.77,19.18,1.092,1.039,4/6/13,Austral Ecology,66,68,65,57,57,59,57,64,59,58,58,64,58
BASIC APPL ECOL,1807,2.669,2.873,0.526,78,629,5.2,0.00657,1.032,379,5044,13.31,31,44,23,31.32,25.22,1.159,1.299,4/6/13,Basic and Applied Ecology,47,53,45,51,46,57,52,51,53,55,54,71,55
BEHAV ECOL,7121,3.083,3.368,0.709,172,2114,7,0.02058,1.299,876,12142,13.86,38,50,28,48.39,25.18,1.187,1.577,4/6/13,Behavioral Ecology,34,41,35,47,36,27,44,52,47,36,47,30,36
BEHAV ECOL SOCIOBIOL,10055,3.179,3.209,0.62,221,3133,10,0.01936,1.135,970,12797,13.19,38,52,29,49.86,28.79,1.179,1.381,4/6/13,Behavioral Ecology and Sociobiology,32,46,39,49,42,30,44,47,44,33,45,21,34
BIOCHEM SYST ECOL,3009,0.931,1.226,0.138,130,2454,8.8,0.00372,0.264,755,4200,5.56,24,29,17,28.09,13.19,0.78,0.398,4/7/13,Biochemical Systematics and Ecology,96,99,100,88,97,68,68,93,77,62,77,59,61
BIODIVERS CONSERV,6678,2.238,2.48,0.355,217,2693,6.5,0.01864,0.844,989,14315,14.47,46,60,34,51.94,30,1.239,1.2,4/7/13,Biodiversity and Conservation,56,61,54,44,48,32,35,45,41,29,37,31,28
BIOGEOSCIENCES,3438,3.859,4.193,0.732,254,820,2.7,0.02405,1.792,989,15830,16.01,48,66,39,57.07,35.68,1.092,1.825,4/7/13,Biogeosciences,26,30,26,56,31,23,29,40,35,24,28,52,23
BIOL CONSERV,16944,4.115,4.529,0.662,346,3741,6.6,0.04727,1.575,994,30991,31.18,67,95,52,75.23,53.8,1.902,2.098,4/7/13,Biological Conservation,25,28,30,15,22,9,9,13,12,8,10,10,8
BIOL INVASIONS,4519,2.896,3.48,0.613,243,1299,4,0.01729,1.052,991,14273,14.4,43,60,34,54.28,33.97,1.321,1.348,4/7/13,Biological Invasions,42,39,43,37,43,36,37,41,41,27,37,43,29
BIOL LETTERS,4455,3.762,4.049,0.555,247,1100,3.7,0.02992,1.723,995,18572,18.67,51,69,40,59.9,36.91,1.42,1.931,4/7/13,Biology Letters,27,31,28,35,26,16,21,38,32,19,25,44,19
BIOTROPICA,4756,2.229,2.57,0.505,93,1851,10,0.00853,0.944,548,6643,12.12,35,51,27,35.1,31.03,1.045,1.112,4/7/13,Biotropica,57,58,49,64,52,51,48,44,46,51,49,38,51
B AM MUS NAT HIST,2309,2.905,6.281,1.059,17,368,10,0.0032,2.722,75,1005,13.4,16,28,14,14.32,20.66,2.694,1.909,4/6/13,Bulletin of the American Museum of Natural History,41,10,9,7,28,75,91,59,81,102,90,65,101
CAN FIELD NAT,620,0.043,0.134,0.059,17,4627,10,0.00026,0.049,548,248,0.45,6,8,5,6.61,4.58,0.186,0.152,4/7/13,Canadian Field-Naturalist,111,125,112,109,109,112,110,110,110,120,110,92,112
CHEM ECOL,453,0.615,0.763,0.165,79,594,5.8,0.00118,0.218,301,1082,3.59,12,14,10,15.14,6.63,0.33,0.284,4/13/13,Chemistry and Ecology,103,112,102,107,102,99,101,105,103,94,101,99,96
CHEMOECOLOGY,730,1.556,1.924,0.148,27,379,7.7,0.00174,0.658,143,1126,7.87,15,22,12,14.66,12.77,0.838,0.646,4/13/13,Chemoecology,77,77,72,84,85,88,93,95,94,100,95,90,95
CONSERV BIOL,16410,4.692,5.94,0.744,133,2763,9,0.0344,2.293,975,24168,24.79,71,102,55,66.82,59.26,2.026,2.529,4/13/13,Conservation Biology,20,13,15,11,18,13,8,11,8,12,9,11,10
CONTEMP PROBL ECOL+,154,0.099,0.21,0.028,109,733,6.5,0.0003,0.053,425,274,0.64,5,6,5,7.62,3.46,0.094,0.111,4/13/13,Contemporary Problems of Ecology,110,124,111,110,110,111,111,111,111,118,110,111,111
DIVERS DISTRIB,3806,4.83,5.139,2.549,102,741,4.3,0.01609,1.878,509,12742,25.03,51,79,42,49.92,50.34,1.623,2.282,4/13/13,Diversity and Distributions,18,21,25,25,21,37,21,17,18,32,21,49,35
ECOGRAPHY,5317,4.188,5.535,0.626,107,961,5.9,0.01894,2.165,507,11605,22.89,42,81,35,47.74,59.43,1.603,2.395,4/13/13,Ecography,24,17,19,26,19,31,40,10,17,38,36,35,39
ECOHYDROLOGY,339,2.133,2.27,0.824,68,149,2.3,0.00174,0.779,213,1939,9.1,21,27,19,20.93,13.71,0.764,0.723,4/13/13,Ecohydrology,59,63,60,89,78,89,78,89,83,80,66,107,85
ECOL APPL,14988,5.102,5.38,0.626,262,2786,8.4,0.03761,2.234,987,23458,23.77,59,89,46,67.11,53.59,1.994,2.615,4/13/13,Ecological Appplications,12,18,16,12,17,12,15,14,13,11,13,13,12
