Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
365,"WJ Kress, DL Erickson","A two-locus global DNA barcode for land plants: the coding rbcL gene complements the non-coding trnH-psbA spacer region",2007,"PLoS one","dx.plos.org","","http://scholar.google.com/scholar?cites=11406511002763959002&as_sdt=5,30&sciodt=0,30&hl=en&num=20",146,2013-04-26,"HTML"
348,"JF Bruno, ER Selig","Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons",2007,"PLoS one","dx.plos.org","","http://scholar.google.com/scholar?cites=14482168733182390791&as_sdt=5,30&sciodt=0,30&hl=en&num=20",98,2013-04-26,"HTML"
323,"NA Baird, PD Etter, TS Atwood, MC Currey, AL Shiver…","Rapid SNP discovery and genetic mapping using sequenced RAD markers",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=9294384653946559364&as_sdt=5,30&sciodt=0,30&hl=en&num=20",62,2013-04-26,"HTML"
295,"AF Andersson, M Lindberg, H Jakobsson, F Bäckhed…","Comparative analysis of human gut microbiota by barcoded pyrosequencing",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=5228272543685945100&as_sdt=5,30&sciodt=0,30&hl=en&num=20",82,2013-04-26,"HTML"
234,"T Urich, A Lanzén, J Qi, DH Huson, C Schleper…","Simultaneous assessment of soil microbial community structure and function through analysis of the meta-transcriptome",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=3496581586426747285&as_sdt=5,30&sciodt=0,30&hl=en&num=20",230,2013-04-26,"HTML"
234,"S Chen, H Yao, J Han, C Liu, J Song, L Shi, Y Zhu…","Validation of the ITS2 region as a novel DNA barcode for identifying medicinal plant species",2010,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=2687111052476984767&as_sdt=5,30&sciodt=0,30&hl=en&num=20",907,2013-04-26,"HTML"
220,"AC Parnell, R Inger, S Bearhop, AL Jackson","Source partitioning using stable isotopes: coping with too much variation",2010,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=2065931813295697582&as_sdt=5,30&sciodt=0,30&hl=en&num=20",54,2013-04-26,"HTML"
220,"SA Sandin, JE Smith, EE DeMartini, EA Dinsdale…","Baselines and degradation of coral reefs in the northern Line Islands",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=10128087026348534474&as_sdt=5,30&sciodt=0,30&hl=en&num=20",127,2013-04-26,"HTML"
215,"N Larsen, FK Vogensen, FWJ van den Berg…","Gut microbiota in human adults with type 2 diabetes differs from non-diabetic adults",2010,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=8645179170187370934&as_sdt=5,30&sciodt=0,30&hl=en&num=20",902,2013-04-26,"HTML"
207,"AJ Fazekas, KS Burgess, PR Kesanakurti, SW Graham…","Multiple multilocus DNA barcodes from the plastid genome discriminate plant species equally well",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=5135387343379385635&as_sdt=5,30&sciodt=0,30&hl=en&num=20",413,2013-04-26,"HTML"
203,"F Burki, K Shalchian-Tabrizi, M Minge, Å Skjæveland…","Phylogenomics reshuffles the eukaryotic supergroups",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=4122234056681121346&as_sdt=5,30&sciodt=0,30&hl=en&num=20",536,2013-04-26,"HTML"
183,"E Waltari, RJ Hijmans, AT Peterson, ÁS Nyári…","Locating Pleistocene refugia: comparing phylogeographic and ecological niche model predictions",2007,"PLoS one","dx.plos.org","","http://scholar.google.com/scholar?cites=8194800218886947797&as_sdt=5,30&sciodt=0,30&hl=en&num=20",117,2013-04-26,"HTML"
174,"MJ Claesson, O O'Sullivan, Q Wang, J Nikkilä…","Comparative analysis of pyrosequencing and a phylogenetic microarray for exploring microbial community structures in the human distal intestine",2009,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=6594898557502336437&as_sdt=5,30&sciodt=0,30&hl=en&num=20",484,2013-04-26,"HTML"
168,"JA Gilbert, D Field, Y Huang, R Edwards, W Li, P Gilna…","Detection of large numbers of novel sequences in the metatranscriptomes of complex marine microbial communities",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=8131909555937607232&as_sdt=5,30&sciodt=0,30&hl=en&num=20",157,2013-04-26,"HTML"
168,"SJ Williamson, DB Rusch, S Yooseph, AL Halpern…","The Sorcerer II Global Ocean Sampling Expedition: metagenomic characterization of viruses within aquatic microbial samples",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=17004206906818139425&as_sdt=5,30&sciodt=0,30&hl=en&num=20",416,2013-04-26,"HTML"
167,"NJB Isaac, ST Turvey, B Collen, C Waterman…","Mammals on the EDGE: conservation priorities based on threat and phylogeny",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=12774304266879066398&as_sdt=5,30&sciodt=0,30&hl=en&num=20",168,2013-04-26,"HTML"
156,"DC Richter, F Ott, AF Auch, R Schmid, DH Huson","MetaSim—A sequencing simulator for genomics and metagenomics",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=12260066793326289171&as_sdt=5,30&sciodt=0,30&hl=en&num=20",72,2013-04-26,"HTML"
156,"N Hubert, R Hanner, E Holm, NE Mandrak, E Taylor…","Identifying Canadian freshwater fishes through DNA barcodes",2008,"PLoS one","dx.plos.org","","http://scholar.google.com/scholar?cites=3688180471365492477&as_sdt=5,30&sciodt=0,30&hl=en&num=20",103,2013-04-26,"HTML"
151,"BC Björk, P Welling, M Laakso, P Majlender, T Hedlund…","Open access to the scientific journal literature: situation 2009",2010,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=15538931076936858420&as_sdt=5,30&sciodt=0,30&hl=en&num=20",548,2013-04-26,"HTML"
149,"EA Dinsdale, O Pantos, S Smriga, RA Edwards…","Microbial ecology of four coral atolls in the Northern Line Islands",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=8278166287912581331&as_sdt=5,30&sciodt=0,30&hl=en&num=20",1,2013-04-26,"HTML"
142,"SE Dowd, RD Wolcott, Y Sun, T McKeehan, E Smith…","Polymicrobial nature of chronic diabetic foot ulcer biofilm infections determined using bacterial tag encoded FLX amplicon pyrosequencing (bTEFAP)",2008,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=1786537001356554075&as_sdt=5,30&sciodt=0,30&hl=en&num=20",199,2013-04-26,"HTML"
139,"C Sass, DP Little, DW Stevenson, CD Specht","DNA barcoding in the cycadales: testing the potential of proposed barcoding markers for species identification of cycads",2007,"PloS one","dx.plos.org","","http://scholar.google.com/scholar?cites=9215207576441829009&as_sdt=5,30&sciodt=0,30&hl=en&num=20",609,2013-04-26,"HTML"
139,"MN Van Ert, WR Easterday, LY Huynh, RT Okinaka…","Global genetic population structure of Bacillus anthracis",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=7480966750262460978&as_sdt=5,30&sciodt=0,30&hl=en&num=20",891,2013-04-26,"HTML"
137,"DJ Agnew, J Pearce, G Pramod, T Peatman, R Watson…","Estimating the worldwide extent of illegal fishing",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=13508952616733739495&as_sdt=5,30&sciodt=0,30&hl=en&num=20",278,2013-04-26,"HTML"
137,"T Woyke, G Xie, A Copeland, JM Gonzalez, C Han…","Assembling the marine metagenome, one cell at a time",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=4412282975809583696&as_sdt=5,30&sciodt=0,30&hl=en&num=20",298,2013-04-26,"HTML"
134,"MA Krawchuk, MA Moritz, MA Parisien, J Van Dorn…","Global pyrogeography: the current and future distribution of wildfire",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=17968163513511507893&as_sdt=5,30&sciodt=0,30&hl=en&num=20",334,2013-04-26,"HTML"
130,"SR Loarie, BE Carter, K Hayhoe, S McMahon, R Moe…","Climate change and the future of California's endemic flora",2008,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=6126466559912080881&as_sdt=5,30&sciodt=0,30&hl=en&num=20",487,2013-04-26,"HTML"
127,"J Jansson, B Willing, M Lucio, A Fekete, J Dicksved…","Metabolomics reveals metabolic biomarkers of Crohn's disease",2009,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=13906532926062361317&as_sdt=5,30&sciodt=0,30&hl=en&num=20",708,2013-04-26,"HTML"
124,"MTP Gilbert, T Haselkorn, M Bunce, JJ Sanchez…","The Isolation of Nucleic Acids from Fixed, Paraffin-Embedded Tissues–Which Methods Are Useful When?",2007,"PLoS One","dx.plos.org","","http://scholar.google.com/scholar?cites=17675123791671614843&as_sdt=5,30&sciodt=0,30&hl=en&num=20",53,2013-04-26,"HTML"
