JCR Year and Edition: 2011 Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CHIROPTEROL;1508-1109;471;1.116;1.253;0.093;43;5.3;0.00148;0.365;
ACTA ETHOL;0873-9749;198;1.353;1.187;0.059;17;7.0;0.00059;0.428;
ACTA HERPETOL;1827-9635;77;0.580;;0.032;31;;0.00030;;
ACTA ICHTHYOL PISCAT;0137-1592;191;0.547;;0.068;44;7.6;0.00032;;
ACTA THERIOL;0001-7051;1035;0.890;0.980;0.140;43;>10.0;0.00111;0.306;
ACTA ZOOL ACAD SCI H;1217-8837;391;0.564;0.570;0.038;26;>10.0;0.00052;0.189;
ACTA ZOOL BULGAR;0324-0770;156;0.247;;0.407;54;5.5;0.00030;;
ACTA ZOOL-STOCKHOLM;0001-7272;722;1.133;1.113;0.325;40;>10.0;0.00182;0.488;
AFR INVERTEBR;1681-5556;96;0.432;;0.276;29;;0.00043;;
AFR J HERPETOL;2156-4574;136;0.714;0.603;1.267;15;7.1;0.00025;0.214;
AFR ZOOL;1562-7020;275;0.900;0.975;0.103;39;5.4;0.00097;0.330;
AM J PRIMATOL;0275-2565;3445;2.221;2.138;0.830;106;8.8;0.00708;0.674;
AM MALACOL BULL;0740-2783;353;1.219;0.809;0.474;19;>10.0;0.00050;0.235;
AM MUS NOVIT;0003-0082;2042;1.882;1.806;0.522;23;>10.0;0.00262;0.694;
AMPHIBIA-REPTILIA;0173-5373;998;1.056;1.058;0.156;64;8.2;0.00183;0.303;
ANIM BEHAV;0003-3472;21620;3.493;3.591;0.527;319;>10.0;0.03833;1.271;
ANIM BIOL;1570-7555;239;0.721;0.845;0.083;36;5.5;0.00076;0.259;
ANIM CELLS SYST;1976-8354;42;0.222;0.264;0.122;41;;0.00011;0.044;
ANIM COGN;1435-9448;1720;3.089;3.340;0.402;87;4.4;0.00622;1.047;
ANIM WELFARE;0962-7286;1155;1.135;1.399;0.254;59;7.8;0.00229;0.418;
ANN CARNEGIE MUS;0097-4463;364;0.955;0.904;0.214;14;>10.0;0.00049;0.367;
ANN ZOOL;0003-4541;377;0.482;0.465;0.043;46;8.3;0.00082;0.150;
ANN ZOOL FENN;0003-455X;1623;1.539;1.466;0.121;33;>10.0;0.00216;0.508;
APPL HERPETOL;1570-7539;130;0.438;1.364;;0;4.8;0.00055;0.457;
ASIAN HERPETOL RES;2095-0357;9;0.294;0.294;0.133;30;;0.00001;0.025;
AUST J ZOOL;0004-959X;1611;0.722;0.900;0.226;31;>10.0;0.00133;0.315;
B MENS SOC LINN LYON;0366-1326;124;0.068;;0.000;20;>10.0;0.00003;;
BEHAV ECOL;1045-2249;7121;3.083;3.368;0.709;172;7.0;0.02058;1.299;
BEHAV ECOL SOCIOBIOL;0340-5443;10055;3.179;3.209;0.620;221;>10.0;0.01936;1.135;
BEHAV PROCESS;0376-6357;2479;1.652;1.604;0.268;127;6.7;0.00687;0.566;
BEHAVIOUR;0005-7959;4574;1.568;1.657;0.303;66;>10.0;0.00498;0.629;
BELG J ZOOL;0777-6276;349;0.531;0.647;0.056;18;7.0;0.00052;0.205;
BIOACOUSTICS;0952-4622;277;0.895;1.490;0.000;6;>10.0;0.00050;0.559;
BOL INST PESCA;0046-9939;221;0.223;;0.000;39;8.4;0.00040;;
BRAIN BEHAV EVOLUT;0006-8977;2172;2.215;2.364;0.450;40;>10.0;0.00343;0.861;
CALIF FISH GAME;0008-1078;330;0.147;0.235;0.000;12;>10.0;0.00014;0.094;
CAN J ZOOL;0008-4301;9387;1.205;1.540;0.246;122;>10.0;0.00776;0.571;
CHELONIAN CONSERV BI;1071-8443;497;0.913;0.990;0.132;38;8.4;0.00112;0.295;
COMP BIOCHEM PHYS A;1095-6433;8122;2.235;2.257;0.590;188;9.7;0.01391;0.675;
COMP BIOCHEM PHYS B;1096-4959;6533;1.923;1.984;0.389;95;>10.0;0.00843;0.529;
COMP BIOCHEM PHYS C;1532-0456;5429;2.616;2.897;0.778;99;8.5;0.00893;0.723;
COMP PARASITOL;1525-2647;331;0.757;0.796;0.264;53;5.6;0.00076;0.202;
COMPARATIVE MED;1532-0820;751;1.052;1.145;0.190;21;6.7;0.00189;0.356;
CONTRIB ZOOL;1383-4517;282;1.231;1.446;0.444;18;6.5;0.00064;0.422;
COPEIA;0045-8511;4894;1.101;1.300;0.167;60;>10.0;0.00412;0.488;
CYBIUM;0399-0974;658;0.404;0.402;0.032;31;>10.0;0.00094;0.112;
DEV COMP IMMUNOL;0145-305X;4735;3.268;3.445;0.880;150;6.0;0.01013;0.850;
ETHOL ECOL EVOL;0394-9370;619;0.743;1.000;0.531;32;>10.0;0.00104;0.380;
ETHOLOGY;0179-1613;3542;2.008;2.177;0.347;121;7.9;0.00905;0.762;
EUR J WILDLIFE RES;1612-4642;732;1.306;1.532;0.212;137;3.5;0.00295;0.414;
EXP ANIM TOKYO;1341-1357;655;0.922;0.868;0.190;42;8.5;0.00127;0.277;
FOLIA PRIMATOL;0015-5713;1498;1.000;1.466;0.143;21;>10.0;0.00159;0.652;
