

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OECOL;1146-609X;2162;1.570;1.946;0.488;86;7.0;0.00548;0.650;
ADV ECOL RES;0065-2504;1618;5.333;3.224;5.000;5;>10.0;0.00105;1.168;
ADV MICROB ECOL;0147-4863;291;;;;0;>10.0;0.00000;;
AFR J ECOL;0141-6707;1381;0.655;0.913;0.082;61;8.1;0.00313;0.287;
AGR ECOSYST ENVIRON;0167-8809;10125;3.004;3.969;0.344;212;6.9;0.02355;1.196;
AM MIDL NAT;0003-0031;3237;0.619;0.698;0.105;76;>10.0;0.00181;0.257;
AM NAT;0003-0147;24661;4.725;5.280;0.827;168;>10.0;0.04448;2.610;
ANIM CONSERV;1367-9430;1888;2.931;3.186;0.984;64;5.7;0.00653;1.227;
ANN ZOOL FENN;0003-455X;1623;1.539;1.466;0.121;33;>10.0;0.00216;0.508;
ANNU REV ECOL EVOL S;1543-592X;14049;14.373;18.007;0.227;22;>10.0;0.02330;9.273;
APPL ECOL ENV RES;1589-1623;163;0.379;;0.000;12;6.1;0.00031;;
APPL VEG SCI;1402-2001;994;1.678;2.031;0.653;49;6.0;0.00297;0.706;
AQUAT ECOL;1386-2588;1082;1.365;1.640;0.234;47;6.0;0.00320;0.542;
AQUAT MICROB ECOL;0948-3055;4068;2.393;2.724;0.230;100;7.9;0.00858;0.923;
AUSTRAL ECOL;1442-9985;2488;1.824;2.074;0.248;101;7.0;0.00646;0.744;
B AM MUS NAT HIST;0003-0090;2309;2.905;6.281;1.059;17;>10.0;0.00320;2.722;
B PEABODY MUS NAT HI;0079-032X;102;0.690;;0.455;11;4.7;0.00039;;
BASIC APPL ECOL;1439-1791;1807;2.669;2.873;0.526;78;5.2;0.00657;1.032;
BEHAV ECOL;1045-2249;7121;3.083;3.368;0.709;172;7.0;0.02058;1.299;
BEHAV ECOL SOCIOBIOL;0340-5443;10055;3.179;3.209;0.620;221;>10.0;0.01936;1.135;
BIOCHEM SYST ECOL;0305-1978;3009;0.931;1.226;0.138;130;8.8;0.00372;0.264;
BIODIVERS CONSERV;0960-3115;6678;2.238;2.480;0.355;217;6.5;0.01864;0.844;
BIOGEOSCIENCES;1726-4170;3438;3.859;4.193;0.732;254;2.7;0.02405;1.792;
BIOL CONSERV;0006-3207;16944;4.115;4.529;0.662;346;6.6;0.04727;1.575;
BIOL INVASIONS;1387-3547;4519;2.896;3.480;0.613;243;4.0;0.01729;1.052;
BIOL LETTERS;1744-9561;4455;3.762;4.049;0.555;247;3.7;0.02992;1.723;
BIOTROPICA;0006-3606;4756;2.229;2.570;0.505;93;>10.0;0.00853;0.944;
CAN FIELD NAT;0008-3550;620;0.043;0.134;0.059;17;>10.0;0.00026;0.049;
CHEM ECOL;0275-7540;453;0.615;0.763;0.165;79;5.8;0.00118;0.218;
CHEMOECOLOGY;0937-7409;730;1.556;1.924;0.148;27;7.7;0.00174;0.658;
COMMUNITY ECOL;1585-8553;468;1.679;1.745;0.033;30;5.0;0.00169;0.618;
COMPOST SCI UTIL;1065-657X;524;0.639;0.834;0.000;32;8.5;0.00053;0.177;
CONSERV BIOL;0888-8892;16410;4.692;5.940;0.744;133;9.0;0.03440;2.293;
CONTEMP PROBL ECOL+;1995-4255;154;0.099;0.210;0.028;109;6.5;0.00030;0.053;
DIVERS DISTRIB;1366-9516;3806;4.830;5.139;2.549;102;4.3;0.01609;1.878;
ECOGRAPHY;0906-7590;5317;4.188;5.535;0.626;107;5.9;0.01894;2.165;
ECOHYDROLOGY;1936-0584;339;2.133;2.270;0.824;68;2.3;0.00174;0.779;
ECOL APPL;1051-0761;14988;5.102;5.380;0.626;262;8.4;0.03761;2.234;
ECOL COMPLEX;1476-945X;467;1.926;1.853;0.163;43;3.4;0.00199;0.568;
ECOL ECON;0921-8009;8115;2.713;3.267;0.341;249;5.4;0.02658;1.081;
ECOL ENG;0925-8574;4607;3.106;3.415;0.459;255;5.5;0.00973;0.757;
ECOL INFORM;1574-9541;361;1.432;1.587;0.457;46;3.4;0.00184;0.470;
ECOL LETT;1461-023X;14561;17.557;15.389;2.351;94;5.7;0.06713;7.380;
ECOL MODEL;0304-3800;11362;2.326;2.714;0.457;374;6.9;0.02928;0.882;
ECOL MONOGR;0012-9615;8300;7.433;7.750;1.033;30;>10.0;0.01071;3.745;
ECOL RES;0912-3814;2121;1.565;1.705;0.157;115;6.2;0.00617;0.563;
ECOL SOC;1708-3087;2543;2.516;3.840;0.737;137;4.8;0.01042;1.197;
ECOLOGY;0012-9658;47545;4.849;6.007;0.539;230;>10.0;0.08167;2.637;
ECOSCIENCE;1195-6860;1523;1.277;1.624;0.200;40;8.8;0.00315;0.627;
ECOSYSTEMS;1432-9840;5200;3.495;4.850;0.368;95;6.6;0.01836;2.051;
ECOTOXICOLOGY;0963-9292;2600;2.355;3.185;0.373;204;3.9;0.00749;0.820;
ECOTROPICA;0949-3026;141;0.150;;0.053;19;9.5;0.00019;;
EKOLOJI;1300-1361;214;0.869;;0.208;48;3.4;0.00021;;
ENVIRON BIOL FISH;0378-1909;4675;0.914;1.288;0.241;133;>10.0;0.00550;0.422;
EUR J SOIL BIOL;1164-5563;1299;1.578;1.889;0.190;58;5.6;0.00350;0.503;
EUR J WILDLIFE RES;1612-4642;732;1.306;1.532;0.212;137;3.5;0.00295;0.414;
EVOL ECOL;0269-7653;3044;2.453;2.854;0.678;90;>10.0;0.00642;1.084;
EVOL ECOL RES;1522-0613;1719;1.029;1.521;0.125;32;7.5;0.00489;0.668;
EVOLUTION;0014-3820;29505;5.146;5.613;0.905;285;>10.0;0.05569;2.431;
FRONT ECOL ENVIRON;1540-9295;3745;9.113;9.023;1.519;54;4.6;0.01970;4.085;
FUNCT ECOL;0269-8463;8946;4.567;4.850;1.250;140;8.1;0.02367;1.938;
FUNGAL ECOL;1754-5048;288;2.507;2.489;0.843;51;2.1;0.00107;0.666;
GLOBAL CHANGE BIOL;1354-1013;16313;6.862;8.036;1.534;292;5.4;0.06455;3.188;
GLOBAL ECOL BIOGEOGR;1466-822X;4418;5.145;6.629;1.474;78;5.4;0.01767;2.729;
HEREDITY;0018-067X;8712;4.597;4.523;1.091;154;9.6;0.01768;1.685;
INT J SUST DEV WORLD;1350-4509;510;0.965;0.922;0.397;63;5.2;0.00103;0.199;
INTERCIENCIA;0378-1844;752;0.308;0.457;0.023;132;7.3;0.00133;0.112;
ISME J;1751-7362;3899;7.375;7.850;1.787;178;2.6;0.02342;2.812;
ISR J ECOL EVOL;1565-9801;122;0.388;0.925;1.111;9;3.8;0.00083;0.377;
J ANIM ECOL;0021-8790;11942;4.937;4.971;0.868;129;>10.0;0.02574;2.067;
J APPL ECOL;0021-8901;11471;5.045;5.804;0.925;161;7.8;0.02866;2.171;
J ARID ENVIRON;0140-1963;5526;1.723;2.135;0.380;179;7.2;0.01200;0.665;
J BIOGEOGR;0305-0270;9623;4.544;4.916;1.045;177;6.7;0.02782;1.774;
J CHEM ECOL;0098-0331;8576;2.657;2.760;0.289;152;>10.0;0.01298;0.829;
J ECOL;0022-0477;12765;5.044;6.020;1.013;152;>10.0;0.02782;2.385;
J EVOLUTION BIOL;1010-061X;8003;3.276;3.689;0.594;254;5.6;0.03224;1.568;
J EXP MAR BIOL ECOL;0022-0981;12069;1.875;2.395;0.578;327;>10.0;0.02023;0.776;
J FRESHWATER ECOL;0270-5060;660;0.435;0.474;0.081;62;8.7;0.00111;0.143;
J N AM BENTHOL SOC;0887-3593;3920;2.800;3.251;0.647;85;8.9;0.00745;1.031;
J NAT CONSERV;1617-1381;411;1.864;1.985;0.265;49;4.6;0.00153;0.639;
J NAT HIST;0022-2933;2232;0.953;0.823;0.272;136;>10.0;0.00340;0.265;
J PLANT ECOL-UK;1752-9921;198;1.907;2.229;0.433;30;2.7;0.00121;0.794;
J SOIL WATER CONSERV;0022-4561;2280;1.265;1.769;0.345;58;>10.0;0.00322;0.541;
J TROP ECOL;0266-4674;2961;1.401;2.021;0.200;70;>10.0;0.00527;0.762;
J VEG SCI;1100-9233;5679;2.770;3.027;0.838;99;9.7;0.00911;1.016;
J WILDLIFE MANAGE;0022-541X;8442;1.522;1.972;0.176;204;>10.0;0.01403;0.633;
LANDSC ECOL ENG;1860-1871;96;0.642;;0.097;31;;0.00048;;
LANDSCAPE ECOL;0921-2973;4833;3.061;3.830;0.660;103;7.1;0.01231;1.252;
LANDSCAPE URBAN PLAN;0169-2046;4625;2.173;3.101;0.188;186;7.2;0.00928;0.810;
MAR BIOL RES;1745-1000;340;1.055;1.219;0.190;79;3.6;0.00175;0.419;
MAR ECOL-PROG SER;0171-8630;30131;2.711;3.086;0.442;529;9.5;0.05428;1.026;
METHODS ECOL EVOL;2041-210X;278;5.093;5.093;0.750;76;1.4;0.00174;2.205;
MICROB ECOL;0095-3628;6098;2.912;3.609;0.534;174;6.8;0.01460;1.095;
MOL ECOL;0962-1083;26842;5.522;6.347;1.109;368;6.3;0.07334;2.082;
MOL ECOL RESOUR;1755-098X;3037;3.062;2.907;1.691;165;2.5;0.01520;0.876;
NAT AREA J;0885-8608;615;0.789;0.936;0.128;39;9.6;0.00101;0.294;
NAT HIST;0028-0712;375;0.176;0.117;;;>10.0;0.00014;0.044;
NEW ZEAL J ECOL;0110-6465;780;1.778;1.486;0.229;35;>10.0;0.00140;0.544;
NORTHEAST NAT;1092-6194;325;0.296;0.492;;;6.1;0.00105;0.182;
NORTHWEST SCI;0029-344X;619;0.347;0.661;0.222;18;>10.0;0.00074;0.216;
OECOLOGIA;0029-8549;27832;3.412;3.888;0.524;311;>10.0;0.04034;1.496;
OIKOS;0030-1299;17502;3.061;3.604;0.845;207;>10.0;0.03049;1.542;
ORYX;0030-6053;1525;1.826;2.023;0.403;67;6.3;0.00469;0.728;
P ACAD NAT SCI PHILA;0097-3157;834;0.579;0.863;;;>10.0;0.00053;0.361;
P ROY SOC B-BIOL SCI;0962-8452;34839;5.415;5.670;1.345;466;8.2;0.09614;2.454;
PALEOBIOLOGY;0094-8373;3402;2.926;3.294;0.875;40;>10.0;0.00488;1.566;
PEDOBIOLOGIA;0031-4056;1855;1.816;2.000;0.254;67;9.6;0.00209;0.587;
PERSPECT PLANT ECOL;1433-8319;1095;3.208;5.229;0.310;29;6.3;0.00372;2.112;
PLANT ECOL;1385-0237;4528;1.829;2.115;0.287;174;7.7;0.01038;0.717;
PLANT SPEC BIOL;0913-557X;395;0.792;0.974;0.000;28;>10.0;0.00060;0.283;
POL J ECOL;1505-2249;401;0.506;0.703;0.095;74;5.0;0.00123;0.181;
POL POLAR RES;0138-0338;320;0.875;;0.038;26;>10.0;0.00048;;
POLAR BIOL;0722-4060;3712;1.659;1.692;0.549;184;8.4;0.00770;0.532;
POLAR REC;0032-2474;327;0.962;0.884;0.179;28;8.6;0.00064;0.254;
POLAR RES;0800-0395;790;1.616;1.752;0.378;37;9.3;0.00164;0.651;
POPUL ECOL;1438-3896;808;2.287;2.101;0.667;54;4.9;0.00299;0.752;
RANGELAND ECOL MANAG;1550-7424;780;1.461;1.610;0.173;75;4.0;0.00364;0.513;
RANGELAND J;1036-9872;468;1.405;1.634;0.730;37;4.3;0.00112;0.398;
RESTOR ECOL;1061-2971;3103;1.681;2.481;0.415;118;6.8;0.00816;0.853;
REV CHIL HIST NAT;0716-078X;1158;0.850;1.059;0.176;34;>10.0;0.00120;0.320;
REV ECOL-TERRE VIE;0249-7395;363;0.236;0.418;0.000;28;>10.0;0.00033;0.122;
RUSS J ECOL+;1067-4136;532;0.271;0.498;0.012;83;7.6;0.00116;0.153;
S AFR J WILDL RES;0379-4369;432;1.085;1.090;0.000;26;9.9;0.00073;0.326;
SOUTHWEST NAT;0038-4909;1005;0.309;0.440;0.070;71;>10.0;0.00127;0.159;
THEOR ECOL-NETH;1874-1738;121;1.545;1.697;0.222;36;2.5;0.00098;0.809;
THEOR POPUL BIOL;0040-5809;3420;1.650;2.059;0.083;48;>10.0;0.00702;1.032;
TRENDS ECOL EVOL;0169-5347;22734;15.748;16.981;2.514;74;8.4;0.06008;7.913;
TROP ECOL;0564-3295;304;0.768;;0.059;34;8.9;0.00042;;
VIE MILIEU;0240-8759;567;0.421;0.606;0.000;13;>10.0;0.00054;0.190;
WEST N AM NATURALIST;1527-0904;404;0.399;0.494;0.062;65;6.7;0.00087;0.143;
WETLANDS;0277-5212;2592;1.338;1.766;0.179;112;8.1;0.00522;0.547;
WILDLIFE BIOL;0909-6396;758;0.989;1.314;0.119;42;6.6;0.00227;0.474;
WILDLIFE MONOGR;0084-0173;665;5.333;4.929;0.200;5;>10.0;0.00058;2.240;
WILDLIFE RES;1035-3712;1797;1.323;1.500;0.375;80;8.7;0.00353;0.476;

