SourceID,Title,SNIP 2007,SJR 2007,SNIP 2008,SJR 2008,SNIP 2009,SJR 2009,SNIP 2010,SJR 2010,SNIP 2011,SJR 2011
36425,Adolescent and Pediatric Gynecology,0,0,0,0,0,0,0,0,0,0
19601,Advances in Microbial Ecology,0,0,0,0,0,0,0,0,0,0
12528,African Journal of Ecology,0.813,0.454,0.657,0.448,0.591,0.425,0.677,0.444,0.539,0.484
145692,African Journal of Ecology,0,0.177,0,0,0,0,0,0,0,0
67890,American Journal of Diagnostic Gynecology and Obstetrics,0,0,0,0,0,0,0,0,0,0
30078,American Journal of Obstetrics and Gynecology,1.666,1.514,1.476,1.323,1.383,1.269,1.528,1.335,1.659,1.373
110325,Annual Review of Ecology,0,0,5.675,8.378,4.26,7.468,3.764,7.405,3.932,6.901
32759,Annual Review of Ecology and Systematics,0,0,0,0,0,0,0,0,0,0
100147015,Applied Ecology and Environmental Research,0.642,0.195,0.772,0.3,0.666,0.28,0.997,0.347,0.5,0.27
96119,Applied Soil Ecology,1.213,0.961,1.525,1.149,1.446,1.108,1.511,1.075,1.429,1.025
13043,Aquatic Ecology,0.783,0.587,0.929,0.6,0.744,0.699,1.153,0.632,1.052,0.634
19620,Aquatic Microbial Ecology,1.017,1.126,0.915,1.149,0.788,0.896,0.914,1.109,0.874,1.141
36012,Archives of Gynecology,0,0,0,0,0,0,0,0,0,0
30082,Archives of Gynecology and Obstetrics,0.729,0.363,0.663,0.359,0.804,0.42,0.759,0.415,0.945,0.484
38837,Asia-Oceania Journal of Obstetrics and Gynaecology,0,0,0,0,0,0,0,0,0,0
5000159300,Austral Ecology,1.211,1.048,1.085,1.037,0.929,0.983,0.854,0.926,1.092,1.039
12547,Australian and New Zealand Journal of Obstetrics and Gynaecology,0.582,0.496,0.687,0.556,0.912,0.652,0.67,0.559,0.791,0.604
80353,Australian Journal of Ecology,0,0,0,0,0,0,0,0,0,0
18800156743,Avian Conservation and Ecology,0,0,0,0,0,0,0.301,0.324,0.29,0.366
34014,Bailliere's Clinical Obstetrics and Gynaecology,0,0,0,0,0,0,0,0,0,0
12556,Bangladesh Journal of Obstetrics and Gynecology,0,0,0.007,0,0,0,0.013,0,0,0
22800,Basic and Applied Ecology,1.263,1.2,1.396,1.386,1.252,1.241,1.095,1.229,1.159,1.299
13151,Behavioral Ecology,1.598,2.057,1.525,1.764,1.419,1.841,1.26,1.799,1.187,1.577
22803,Behavioral Ecology and Sociobiology,1.424,1.718,1.313,1.656,1.27,1.569,1.072,1.322,1.179,1.381
12551,Best Practice and Research in Clinical Obstetrics and Gynaecology,1.202,0.762,1.06,0.605,1.189,0.775,1.302,0.89,1.541,0.818
16857,Biochemical Systematics and Ecology,0.967,0.396,0.869,0.429,0.899,0.444,0.987,0.426,0.78,0.398
